name,vtable,scope,status,linked_receiver_opcodes,linked_request_opcodes,validation_plan_id,offline_next,runtime_scenario,negative_control,pass_criterion
Nuo::Kindred::Action_PlaySound,01228e04,Nuo::Kindred::Action 클래스,현재 opcode 미연결; 사용 안 함을 뜻하지 않음,,,V09,"localization/audio/pfx/UI 소비 경로와 수신 범위, 참조 ID·위치·지속시간, 로컬 요청 여부를 확인한다.",비공개/연습 환경에서 해당 알림·핑·음성·효과·표시를 하나씩 발생시키고 지원되는 관점별 화면/음향을 비교한다.,"로컬 표시/음량 설정 변경, 수신 범위 밖, 유사하지만 다른 알림을 대조한다.",ID·대상·범위·표시가 일치하고 로컬 연출을 피해·처치·아이템 획득으로 오인하지 않는다.
Nuo::Kindred::Action_MoveToEasing,01228ff0,Nuo::Kindred::Action 클래스,현재 opcode 미연결; 사용 안 함을 뜻하지 않음,,,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.
Nuo::Kindred::Action_PlayAnimation,0122e338,Nuo::Kindred::Action 클래스,현재 opcode 미연결; 사용 안 함을 뜻하지 않음,,,V09,"localization/audio/pfx/UI 소비 경로와 수신 범위, 참조 ID·위치·지속시간, 로컬 요청 여부를 확인한다.",비공개/연습 환경에서 해당 알림·핑·음성·효과·표시를 하나씩 발생시키고 지원되는 관점별 화면/음향을 비교한다.,"로컬 표시/음량 설정 변경, 수신 범위 밖, 유사하지만 다른 알림을 대조한다.",ID·대상·범위·표시가 일치하고 로컬 연출을 피해·처치·아이템 획득으로 오인하지 않는다.
Nuo::Kindred::Action_PlayPfx,0122e354,Nuo::Kindred::Action 클래스,현재 opcode 미연결; 사용 안 함을 뜻하지 않음,,,V09,"localization/audio/pfx/UI 소비 경로와 수신 범위, 참조 ID·위치·지속시간, 로컬 요청 여부를 확인한다.",비공개/연습 환경에서 해당 알림·핑·음성·효과·표시를 하나씩 발생시키고 지원되는 관점별 화면/음향을 비교한다.,"로컬 표시/음량 설정 변경, 수신 범위 밖, 유사하지만 다른 알림을 대조한다.",ID·대상·범위·표시가 일치하고 로컬 연출을 피해·처치·아이템 획득으로 오인하지 않는다.
Nuo::Composite::Action_Destroy,01254930,기타 관련 기반/연출/UI/플랫폼 클래스,현재 opcode 미연결; 사용 안 함을 뜻하지 않음,,,V09,"localization/audio/pfx/UI 소비 경로와 수신 범위, 참조 ID·위치·지속시간, 로컬 요청 여부를 확인한다.",비공개/연습 환경에서 해당 알림·핑·음성·효과·표시를 하나씩 발생시키고 지원되는 관점별 화면/음향을 비교한다.,"로컬 표시/음량 설정 변경, 수신 범위 밖, 유사하지만 다른 알림을 대조한다.",ID·대상·범위·표시가 일치하고 로컬 연출을 피해·처치·아이템 획득으로 오인하지 않는다.
Nuo::Kindred::RecentFriendActionWidget,01255524,기타 관련 기반/연출/UI/플랫폼 클래스,현재 opcode 미연결; 사용 안 함을 뜻하지 않음,,,V09,"localization/audio/pfx/UI 소비 경로와 수신 범위, 참조 ID·위치·지속시간, 로컬 요청 여부를 확인한다.",비공개/연습 환경에서 해당 알림·핑·음성·효과·표시를 하나씩 발생시키고 지원되는 관점별 화면/음향을 비교한다.,"로컬 표시/음량 설정 변경, 수신 범위 밖, 유사하지만 다른 알림을 대조한다.",ID·대상·범위·표시가 일치하고 로컬 연출을 피해·처치·아이템 획득으로 오인하지 않는다.
Nuo::Kindred::FriendRequestActionWidget,012555c0,기타 관련 기반/연출/UI/플랫폼 클래스,현재 opcode 미연결; 사용 안 함을 뜻하지 않음,,,V09,"localization/audio/pfx/UI 소비 경로와 수신 범위, 참조 ID·위치·지속시간, 로컬 요청 여부를 확인한다.",비공개/연습 환경에서 해당 알림·핑·음성·효과·표시를 하나씩 발생시키고 지원되는 관점별 화면/음향을 비교한다.,"로컬 표시/음량 설정 변경, 수신 범위 밖, 유사하지만 다른 알림을 대조한다.",ID·대상·범위·표시가 일치하고 로컬 연출을 피해·처치·아이템 획득으로 오인하지 않는다.
Nuo::Kindred::ActionActorDead,0127c6a8,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0431,,V01,해당 클래스 생성자→apply의 ID 조회와 상태 전이를 추적하고 이전 spawn 정의·ID 수명·후속 snapshot을 연결한다.,영웅과 미니언 각각 생성→사망→소멸→부활/재생성을 기록하고 부활 시 조작 가능 시점을 별도 표시한다.,살아 있는 효과 개체의 정상 제거와 section 경계 snapshot 재전송을 대조한다.,"대상 ID와 실제 생명주기 단계가 일치하며 snapshot 반복을 신규 생성으로, 제거를 처치로 오인하지 않는다."
Nuo::Kindred::ActionActorDie,0127c6bc,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0430,,V01,해당 클래스 생성자→apply의 ID 조회와 상태 전이를 추적하고 이전 spawn 정의·ID 수명·후속 snapshot을 연결한다.,영웅과 미니언 각각 생성→사망→소멸→부활/재생성을 기록하고 부활 시 조작 가능 시점을 별도 표시한다.,살아 있는 효과 개체의 정상 제거와 section 경계 snapshot 재전송을 대조한다.,"대상 ID와 실제 생명주기 단계가 일치하며 snapshot 반복을 신규 생성으로, 제거를 처치로 오인하지 않는다."
Nuo::Kindred::ActionActorRespawn,0127c6d0,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0432,,V01,해당 클래스 생성자→apply의 ID 조회와 상태 전이를 추적하고 이전 spawn 정의·ID 수명·후속 snapshot을 연결한다.,영웅과 미니언 각각 생성→사망→소멸→부활/재생성을 기록하고 부활 시 조작 가능 시점을 별도 표시한다.,살아 있는 효과 개체의 정상 제거와 section 경계 snapshot 재전송을 대조한다.,"대상 ID와 실제 생명주기 단계가 일치하며 snapshot 반복을 신규 생성으로, 제거를 처치로 오인하지 않는다."
Nuo::Kindred::ActionActorUndead,0127c6e4,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x042f,,V01,해당 클래스 생성자→apply의 ID 조회와 상태 전이를 추적하고 이전 spawn 정의·ID 수명·후속 snapshot을 연결한다.,영웅과 미니언 각각 생성→사망→소멸→부활/재생성을 기록하고 부활 시 조작 가능 시점을 별도 표시한다.,살아 있는 효과 개체의 정상 제거와 section 경계 snapshot 재전송을 대조한다.,"대상 ID와 실제 생명주기 단계가 일치하며 snapshot 반복을 신규 생성으로, 제거를 처치로 오인하지 않는다."
Nuo::Kindred::ActionApplyBuff,0127c6f8,Nuo::Kindred::Action 클래스,수신 후보에 연결,"0x043e,0x043f",,V04,"buff/zone 정의 ID와 대상 조회, duration·stack·mask·variable setter 및 종료 경로를 추적한다.",동일 버프를 한 번 부여한 뒤 재부여·중첩·강제 해제·자연 만료를 각각 기록한다. 장판은 진입과 이탈을 분리한다.,"대상 밖, 면역 상태, 스택 상한 도달, 같은 효과의 갱신을 대조한다.",버프 ID·대상·스택·남은 시간과 종료 이유가 일치하고 갱신을 신규 효과나 처치로 중복 집계하지 않는다.
Nuo::Kindred::ActionAutoActorBounce,0127c70c,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0402,,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.
Nuo::Kindred::ActionAutoMoveTo,0127c720,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0403,,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.
Nuo::Kindred::ActionAutoOrbit,0127c734,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0406,,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.
Nuo::Kindred::ActionBroadcastSwapTarget,0127c748,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0490,,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.
Nuo::Kindred::ActionCancelAbility,0127c75c,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x043c,,V03,"생성자→apply의 참조와 ability/projectile 정의, HP 처리·쿨다운·charge 소비 경로를 추적한다.",기본 공격과 A/B/C를 각각 단독 사용하고 헛발·적중·취소를 분리한다. 체력 관련 후보는 단일 피해·회복·보호막을 따로 비교한다.,"무행동, 범위 밖, 쿨다운 중 재입력, 빗나간 투사체를 대조한다.",서로 다른 영웅 2종 이상에서 개체·능력·단계가 일치하고 실패 요청을 성공 시전/적중으로 세지 않는다.
Nuo::Kindred::ActionCancelAutoOrbit,0127c770,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0407,,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.
Nuo::Kindred::ActionCancelBuff,0127c784,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0445,,V04,"buff/zone 정의 ID와 대상 조회, duration·stack·mask·variable setter 및 종료 경로를 추적한다.",동일 버프를 한 번 부여한 뒤 재부여·중첩·강제 해제·자연 만료를 각각 기록한다. 장판은 진입과 이탈을 분리한다.,"대상 밖, 면역 상태, 스택 상한 도달, 같은 효과의 갱신을 대조한다.",버프 ID·대상·스택·남은 시간과 종료 이유가 일치하고 갱신을 신규 효과나 처치로 중복 집계하지 않는다.
Nuo::Kindred::ActionClearAbilityOverride,0127c798,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x041b,,V03,"생성자→apply의 참조와 ability/projectile 정의, HP 처리·쿨다운·charge 소비 경로를 추적한다.",기본 공격과 A/B/C를 각각 단독 사용하고 헛발·적중·취소를 분리한다. 체력 관련 후보는 단일 피해·회복·보호막을 따로 비교한다.,"무행동, 범위 밖, 쿨다운 중 재입력, 빗나간 투사체를 대조한다.",서로 다른 영웅 2종 이상에서 개체·능력·단계가 일치하고 실패 요청을 성공 시전/적중으로 세지 않는다.
Nuo::Kindred::ActionConsumeItem,0127c7ac,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x044b,,V06,"item/talent/slot/stack/recipe 참조와 생성자→apply, 금액 차감·지급·거절 사유 소비 경로를 추적한다.",부품 구매→조합→판매→소모품 사용→슬롯 이동을 각각 분리한다. 재능과 추천 빌드는 지원 모드에서 장착/해제/변경한다.,돈 부족·슬롯 가득·상점 밖·쿨다운 중 사용·잘못된 재능 모드의 거절을 대조한다.,아이템/슬롯/수량과 실제 인벤토리·금액 변화가 일치하며 요청/지급/소비/거절을 중복 집계하지 않는다.
Nuo::Kindred::ActionCreateZoneOfControl,0127c7d0,Nuo::Kindred::Action 클래스,수신 후보에 연결,"0x0420,0x0421,0x0422",,V04,"buff/zone 정의 ID와 대상 조회, duration·stack·mask·variable setter 및 종료 경로를 추적한다.",동일 버프를 한 번 부여한 뒤 재부여·중첩·강제 해제·자연 만료를 각각 기록한다. 장판은 진입과 이탈을 분리한다.,"대상 밖, 면역 상태, 스택 상한 도달, 같은 효과의 갱신을 대조한다.",버프 ID·대상·스택·남은 시간과 종료 이유가 일치하고 갱신을 신규 효과나 처치로 중복 집계하지 않는다.
Nuo::Kindred::ActionDecrementBuffStack,0127c7e4,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0447,,V04,"buff/zone 정의 ID와 대상 조회, duration·stack·mask·variable setter 및 종료 경로를 추적한다.",동일 버프를 한 번 부여한 뒤 재부여·중첩·강제 해제·자연 만료를 각각 기록한다. 장판은 진입과 이탈을 분리한다.,"대상 밖, 면역 상태, 스택 상한 도달, 같은 효과의 갱신을 대조한다.",버프 ID·대상·스택·남은 시간과 종료 이유가 일치하고 갱신을 신규 효과나 처치로 중복 집계하지 않는다.
Nuo::Kindred::ActionDestroyZoneOfControl,0127c7f8,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0423,,V04,"buff/zone 정의 ID와 대상 조회, duration·stack·mask·variable setter 및 종료 경로를 추적한다.",동일 버프를 한 번 부여한 뒤 재부여·중첩·강제 해제·자연 만료를 각각 기록한다. 장판은 진입과 이탈을 분리한다.,"대상 밖, 면역 상태, 스택 상한 도달, 같은 효과의 갱신을 대조한다.",버프 ID·대상·스택·남은 시간과 종료 이유가 일치하고 갱신을 신규 효과나 처치로 중복 집계하지 않는다.
Nuo::Kindred::ActionDetonateProjectile,0127c80c,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0410,,V03,"생성자→apply의 참조와 ability/projectile 정의, HP 처리·쿨다운·charge 소비 경로를 추적한다.",기본 공격과 A/B/C를 각각 단독 사용하고 헛발·적중·취소를 분리한다. 체력 관련 후보는 단일 피해·회복·보호막을 따로 비교한다.,"무행동, 범위 밖, 쿨다운 중 재입력, 빗나간 투사체를 대조한다.",서로 다른 영웅 2종 이상에서 개체·능력·단계가 일치하고 실패 요청을 성공 시전/적중으로 세지 않는다.
Nuo::Kindred::ActionDowngradeAbility,0127c820,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x043b,,V03,"생성자→apply의 참조와 ability/projectile 정의, HP 처리·쿨다운·charge 소비 경로를 추적한다.",기본 공격과 A/B/C를 각각 단독 사용하고 헛발·적중·취소를 분리한다. 체력 관련 후보는 단일 피해·회복·보호막을 따로 비교한다.,"무행동, 범위 밖, 쿨다운 중 재입력, 빗나간 투사체를 대조한다.",서로 다른 영웅 2종 이상에서 개체·능력·단계가 일치하고 실패 요청을 성공 시전/적중으로 세지 않는다.
Nuo::Kindred::ActionEndMatch,0127c834,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x03f1,,V08,상태 getter/setter·queue·reason 분기와 이름이 있는 소비 경로를 추적한다. 같은 시각 후속 연산과 지원되지 않는 시계를 보존한다.,시작·준비·관전자 전환·튜토리얼 상태를 분리하고 정상 비항복 종료와 항복 종료를 각각 기록한다. 종료 직전 전투와 최종 화면도 함께 확보한다.,"종료 전 비슷한 시각의 대기, 무시/실패 reason, 지원되지 않는 모드와 시계 정지·재개를 대조한다.",해당 상태와 표시가 일치하고 동시각 후속 점수를 보존한다. 결과 화면으로 최종 수치를 확인하기 전 완료/보정 기준으로 승격하지 않는다.
Nuo::Kindred::ActionEntityDestroy,0127c848,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x040b,,V01,해당 클래스 생성자→apply의 ID 조회와 상태 전이를 추적하고 이전 spawn 정의·ID 수명·후속 snapshot을 연결한다.,영웅과 미니언 각각 생성→사망→소멸→부활/재생성을 기록하고 부활 시 조작 가능 시점을 별도 표시한다.,살아 있는 효과 개체의 정상 제거와 section 경계 snapshot 재전송을 대조한다.,"대상 ID와 실제 생명주기 단계가 일치하며 snapshot 반복을 신규 생성으로, 제거를 처치로 오인하지 않는다."
Nuo::Kindred::ActionEntitySpawn,0127c85c,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x03f2,,V01,해당 클래스 생성자→apply의 ID 조회와 상태 전이를 추적하고 이전 spawn 정의·ID 수명·후속 snapshot을 연결한다.,영웅과 미니언 각각 생성→사망→소멸→부활/재생성을 기록하고 부활 시 조작 가능 시점을 별도 표시한다.,살아 있는 효과 개체의 정상 제거와 section 경계 snapshot 재전송을 대조한다.,"대상 ID와 실제 생명주기 단계가 일치하며 snapshot 반복을 신규 생성으로, 제거를 처치로 오인하지 않는다."
Nuo::Kindred::ActionEquipTalent,0127c870,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0481,,V06,"item/talent/slot/stack/recipe 참조와 생성자→apply, 금액 차감·지급·거절 사유 소비 경로를 추적한다.",부품 구매→조합→판매→소모품 사용→슬롯 이동을 각각 분리한다. 재능과 추천 빌드는 지원 모드에서 장착/해제/변경한다.,돈 부족·슬롯 가득·상점 밖·쿨다운 중 사용·잘못된 재능 모드의 거절을 대조한다.,아이템/슬롯/수량과 실제 인벤토리·금액 변화가 일치하며 요청/지급/소비/거절을 중복 집계하지 않는다.
Nuo::Kindred::ActionFaceDir,0127c884,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0401,,V02,벡터 필드가 위치 setter·경로·보간 중 어디에 들어가는지 추적하고 참조 대상과 좌표 변환을 확인한다.,정지→알려진 두 지점 사이 직선 이동→중지→돌진/순간이동을 각각 단독 수행한다.,"제자리 방향 전환, 이동 실패, 위치 고정 스킬을 대조한다.",개체·축·단위가 관측과 일치하고 현재 위치와 목적지가 분리된다. 예측/보정·취소·중지에서도 오탐하지 않는다.
Nuo::Kindred::ActionFireProjectile,0127c898,Nuo::Kindred::Action 클래스,수신 후보에 연결,"0x040d,0x040e,0x040f",,V03,"생성자→apply의 참조와 ability/projectile 정의, HP 처리·쿨다운·charge 소비 경로를 추적한다.",기본 공격과 A/B/C를 각각 단독 사용하고 헛발·적중·취소를 분리한다. 체력 관련 후보는 단일 피해·회복·보호막을 따로 비교한다.,"무행동, 범위 밖, 쿨다운 중 재입력, 빗나간 투사체를 대조한다.",서로 다른 영웅 2종 이상에서 개체·능력·단계가 일치하고 실패 요청을 성공 시전/적중으로 세지 않는다.
Nuo::Kindred::ActionGrantAbility,0127c8ac,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x043a,,V03,"생성자→apply의 참조와 ability/projectile 정의, HP 처리·쿨다운·charge 소비 경로를 추적한다.",기본 공격과 A/B/C를 각각 단독 사용하고 헛발·적중·취소를 분리한다. 체력 관련 후보는 단일 피해·회복·보호막을 따로 비교한다.,"무행동, 범위 밖, 쿨다운 중 재입력, 빗나간 투사체를 대조한다.",서로 다른 영웅 2종 이상에서 개체·능력·단계가 일치하고 실패 요청을 성공 시전/적중으로 세지 않는다.
Nuo::Kindred::ActionGrantItem,0127c8c0,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x043d,,V06,"item/talent/slot/stack/recipe 참조와 생성자→apply, 금액 차감·지급·거절 사유 소비 경로를 추적한다.",부품 구매→조합→판매→소모품 사용→슬롯 이동을 각각 분리한다. 재능과 추천 빌드는 지원 모드에서 장착/해제/변경한다.,돈 부족·슬롯 가득·상점 밖·쿨다운 중 사용·잘못된 재능 모드의 거절을 대조한다.,아이템/슬롯/수량과 실제 인벤토리·금액 변화가 일치하며 요청/지급/소비/거절을 중복 집계하지 않는다.
Nuo::Kindred::ActionHeroSpawn,0127c914,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x03f3,,V01,해당 클래스 생성자→apply의 ID 조회와 상태 전이를 추적하고 이전 spawn 정의·ID 수명·후속 snapshot을 연결한다.,영웅과 미니언 각각 생성→사망→소멸→부활/재생성을 기록하고 부활 시 조작 가능 시점을 별도 표시한다.,살아 있는 효과 개체의 정상 제거와 section 경계 snapshot 재전송을 대조한다.,"대상 ID와 실제 생명주기 단계가 일치하며 snapshot 반복을 신규 생성으로, 제거를 처치로 오인하지 않는다."
Nuo::Kindred::ActionImpactHealth,0127c928,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x041e,,V03,"생성자→apply의 참조와 ability/projectile 정의, HP 처리·쿨다운·charge 소비 경로를 추적한다.",기본 공격과 A/B/C를 각각 단독 사용하고 헛발·적중·취소를 분리한다. 체력 관련 후보는 단일 피해·회복·보호막을 따로 비교한다.,"무행동, 범위 밖, 쿨다운 중 재입력, 빗나간 투사체를 대조한다.",서로 다른 영웅 2종 이상에서 개체·능력·단계가 일치하고 실패 요청을 성공 시전/적중으로 세지 않는다.
Nuo::Kindred::ActionInvalidateTalent,0127c93c,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0483,,V06,"item/talent/slot/stack/recipe 참조와 생성자→apply, 금액 차감·지급·거절 사유 소비 경로를 추적한다.",부품 구매→조합→판매→소모품 사용→슬롯 이동을 각각 분리한다. 재능과 추천 빌드는 지원 모드에서 장착/해제/변경한다.,돈 부족·슬롯 가득·상점 밖·쿨다운 중 사용·잘못된 재능 모드의 거절을 대조한다.,아이템/슬롯/수량과 실제 인벤토리·금액 변화가 일치하며 요청/지급/소비/거절을 중복 집계하지 않는다.
Nuo::Kindred::ActionItemActivated,0127c950,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x044c,,V06,"item/talent/slot/stack/recipe 참조와 생성자→apply, 금액 차감·지급·거절 사유 소비 경로를 추적한다.",부품 구매→조합→판매→소모품 사용→슬롯 이동을 각각 분리한다. 재능과 추천 빌드는 지원 모드에서 장착/해제/변경한다.,돈 부족·슬롯 가득·상점 밖·쿨다운 중 사용·잘못된 재능 모드의 거절을 대조한다.,아이템/슬롯/수량과 실제 인벤토리·금액 변화가 일치하며 요청/지급/소비/거절을 중복 집계하지 않는다.
Nuo::Kindred::ActionLevelUp,0127c964,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0434,,V05,index별 setter→getter→명명된 export/UI 소비 경로와 초기 snapshot·reset·clamp를 추적한다. 상관만으로 자원 이름을 정하지 않는다.,대기→구매→판매→단독 막타→근처 공유 처치→정글 처치를 분리한다. 레벨업 후 포인트를 보유했다가 능력 하나만 강화한다.,"SET 재전송, 무행동 자연 수입, 막타 없는 근접, 거절 구매, 사망 reset을 대조한다.",연산과 snapshot으로 복원한 수치가 각 관측 시점과 일치하고 잔액·총수입·레벨·포인트를 구별한다. 최종 KDA는 결과 화면으로 별도 확인한다.
Nuo::Kindred::ActionMakeAnnouncement,0127c978,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0435,,V09,"localization/audio/pfx/UI 소비 경로와 수신 범위, 참조 ID·위치·지속시간, 로컬 요청 여부를 확인한다.",비공개/연습 환경에서 해당 알림·핑·음성·효과·표시를 하나씩 발생시키고 지원되는 관점별 화면/음향을 비교한다.,"로컬 표시/음량 설정 변경, 수신 범위 밖, 유사하지만 다른 알림을 대조한다.",ID·대상·범위·표시가 일치하고 로컬 연출을 피해·처치·아이템 획득으로 오인하지 않는다.
Nuo::Kindred::ActionModifyAbilityCharges,0127c98c,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0429,,V03,"생성자→apply의 참조와 ability/projectile 정의, HP 처리·쿨다운·charge 소비 경로를 추적한다.",기본 공격과 A/B/C를 각각 단독 사용하고 헛발·적중·취소를 분리한다. 체력 관련 후보는 단일 피해·회복·보호막을 따로 비교한다.,"무행동, 범위 밖, 쿨다운 중 재입력, 빗나간 투사체를 대조한다.",서로 다른 영웅 2종 이상에서 개체·능력·단계가 일치하고 실패 요청을 성공 시전/적중으로 세지 않는다.
Nuo::Kindred::ActionModifyActorAttribute,0127c9a0,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x041c,,V05,index별 setter→getter→명명된 export/UI 소비 경로와 초기 snapshot·reset·clamp를 추적한다. 상관만으로 자원 이름을 정하지 않는다.,대기→구매→판매→단독 막타→근처 공유 처치→정글 처치를 분리한다. 레벨업 후 포인트를 보유했다가 능력 하나만 강화한다.,"SET 재전송, 무행동 자연 수입, 막타 없는 근접, 거절 구매, 사망 reset을 대조한다.",연산과 snapshot으로 복원한 수치가 각 관측 시점과 일치하고 잔액·총수입·레벨·포인트를 구별한다. 최종 KDA는 결과 화면으로 별도 확인한다.
Nuo::Kindred::ActionModifyActorResource,0127c9b4,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x041d,,V05,index별 setter→getter→명명된 export/UI 소비 경로와 초기 snapshot·reset·clamp를 추적한다. 상관만으로 자원 이름을 정하지 않는다.,대기→구매→판매→단독 막타→근처 공유 처치→정글 처치를 분리한다. 레벨업 후 포인트를 보유했다가 능력 하나만 강화한다.,"SET 재전송, 무행동 자연 수입, 막타 없는 근접, 거절 구매, 사망 reset을 대조한다.",연산과 snapshot으로 복원한 수치가 각 관측 시점과 일치하고 잔액·총수입·레벨·포인트를 구별한다. 최종 KDA는 결과 화면으로 별도 확인한다.
Nuo::Kindred::ActionModifyBuffDuration,0127c9c8,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0441,,V04,"buff/zone 정의 ID와 대상 조회, duration·stack·mask·variable setter 및 종료 경로를 추적한다.",동일 버프를 한 번 부여한 뒤 재부여·중첩·강제 해제·자연 만료를 각각 기록한다. 장판은 진입과 이탈을 분리한다.,"대상 밖, 면역 상태, 스택 상한 도달, 같은 효과의 갱신을 대조한다.",버프 ID·대상·스택·남은 시간과 종료 이유가 일치하고 갱신을 신규 효과나 처치로 중복 집계하지 않는다.
Nuo::Kindred::ActionModifyBuffMaxStacks,0127c9dc,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0442,,V04,"buff/zone 정의 ID와 대상 조회, duration·stack·mask·variable setter 및 종료 경로를 추적한다.",동일 버프를 한 번 부여한 뒤 재부여·중첩·강제 해제·자연 만료를 각각 기록한다. 장판은 진입과 이탈을 분리한다.,"대상 밖, 면역 상태, 스택 상한 도달, 같은 효과의 갱신을 대조한다.",버프 ID·대상·스택·남은 시간과 종료 이유가 일치하고 갱신을 신규 효과나 처치로 중복 집계하지 않는다.
Nuo::Kindred::ActionModifyBuffStack,0127c9f0,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x0443,,V04,"buff/zone 정의 ID와 대상 조회, duration·stack·mask·variable setter 및 종료 경로를 추적한다.",동일 버프를 한 번 부여한 뒤 재부여·중첩·강제 해제·자연 만료를 각각 기록한다. 장판은 진입과 이탈을 분리한다.,"대상 밖, 면역 상태, 스택 상한 도달, 같은 효과의 갱신을 대조한다.",버프 ID·대상·스택·남은 시간과 종료 이유가 일치하고 갱신을 신규 효과나 처치로 중복 집계하지 않는다.
Nuo::Kindred::ActionModifyBuffVar,0127ca04,Nuo::Kindred::Action 클래스,수신 후보에 연결,0x048b,,V04,"buff/zone 정의 ID와 대상 조회, duration·stack·mask·variable setter 및 종료 경로를 추적한다.",동일 버프를 한 번 부여한 뒤 재부여·중첩·강제 해제·자연 만료를 각각 기록한다. 장판은 진입과 이탈을 분리한다.,"대상 밖, 면역 상태, 스택 상한 도달, 같은 효과의 갱신을 대조한다.",버프 ID·대상·스택·남은 시간과 종료 이유가 일치하고 갱신을 신규 효과나 처치로 중복 집계하지 않는다.
